suuline kommunikatsioon ii,P2NC.00.814
analüütiline keemia i,LOKT.06.010
bioinformaatika seminar,MTAT.03.242
eesti keel seminar,FLEE.02.009
õigus üldteooria,OIAO.06.026
magistriseminar,FLSE.00.253
sissejuhatus üldkeeleteadus,FLEE.08.001
rahvusvaheline eraõigus erikursus,OIEO.06.050
etendus analüüs praktikum,FLKU.05.144
maailmamajandus geograafia,LOOM.02.094
kirjandus seminar,FLKU.05.094
spordipsühholoogia eriseminar i,KKSP.03.041
tõlkeseminar,FLGR.04.540
juhtimine,MJJV.03.136
ilukirjandus tõlkimine praktikum,FLKU.05.025
robootika,LOTI.05.010
käsitöö ja kunstiõpetus,P2NC.00.818
elekter ja magnetism,LOFY.01.007
kardioloogia i,ARKA.01.003
suhtlemistreening,SOPH.00.292
õpe kavandamine,SHHI.01.027
makroökonoomika,MJRI.10.038
soome keel lingvist,FLEE.06.194
pedagoogiline praktikum i,SHHI.01.068
kindlustusõigus,P2OG.01.112
anglistika võtmetekst seminar,FLGR.01.377
tekstianalüüs,FLGR.03.298
teatriteadus alune,FLKU.05.244
kaasaegne õigusfilosoofia,OIEO.01.035
projektijuhtimine,LOOM.02.124
etoloogia,LOOM.04.002
haldusõigus erikursus,OIAO.05.057
tööõigus eriseminar,P2OG.01.073
tsiviilkohtumenetlus,OIEO.04.119
bioeetika,FLFI.02.038
erihistoloogia,LOMR.09.026
bakalaureuseseminar ja bakalaureusetöö ( skandinaavia keel ja kultuur ),FLGR.06.122
bakalaureuseeksam eripedagoogika,SHHI.03.003
meditsiiniline mikrobioloogia,ARMB.01.004
matemaatika ja matemaatika didaktika,HTHT.02.008
äge kõht,ARKI.01.011
uurimistöö ( avalik õigus ) i,OIAO.06.047
spordibiokeemia,KKSB.02.034
ettevõtja praktiline oskus baaskursus i,MJCV.00.003
neuroloogia,ARNR.01.024
lavaline liikumine ja lavakõne alune i,FLKU.05.163
süsteem modelleerimine,MTAT.03.083
j . v . uexküll ja j . lotman lugemine,FLSE.00.251
traditsiooniline ja kaasaegne kultuur,FLEE.04.115
mentor väljaõpe,P2OO.00.008
programmeerimine c-keel ja assembler,MTAT.03.219
käsitöö ja kodundus didaktika,HVVK.01.089
prantsuse keel õpetaja põhipraktika,FLGR.03.289
programmeerimine alune,MTAT.03.236
bakalaureuseseminar ja praktika,FLGR.05.301
doktoriseminar heitmed tehnoloogia,LOKT.04.069
üld ja abdominaalkirurgia,ARKI.02.031
analüütiline keemia i,MVFA.00.002
euroopa keel ja kultuur magistriseminar,HVLC.00.007
lavastajatöö erialapraktika,P2VK.04.605
itaalia ühiskond ja kultuur ( inglise keel baas ),HVLC.03.024
kohalik omavalitsus majandus,SVMJ.08.002
diferentsiaalvõrrand,MTMM.00.214
tänapäev vene kirjandus,FLGR.05.252
organisatsioonikäitumine,MJJV.03.084
saksa kontrastiivne lingvistika,FLGR.04.733
hispaania keel suuline ja kirjalik väljendusoskus,FLGR.03.128
erialane inglise keel ( b 1 keeletase ),HTHT.02.001
kõrgem matemaatika rakendus sotsiaalteadus,MJRI.09.007
teadustekst kirjutamine inglise keel,FLKE.01.267
teatriteadus seminar,FLKU.05.149
ajakirjandus ja televisioon eesti keel tund,P2NC.00.867
biomehaanika alune ja biomaterjal,LTFY.01.019
eesti keel ja kirjandus didaktika alune,FLEE.02.155
vene folkloor ja postfolkloor,FLGR.05.397
ühiskonnaõpetus korraldus kool,FLAJ.03.141
rahvaluule õpetamine võimalus kool,FLKU.04.070
programmeerimine alune ii,MTAT.03.256
"eesti keel arstiteadus tudeng v , tase b1 . 2 > b2 . 1",HVLC.09.005
